 time            v(A0)           v(A1)           v(A2)           v(A3)           v(B0)           v(B1)           v(B2)           v(B3)           v(Cin)          v(S0)           v(S1)           v(S2)           v(S3)           v(C4)          
 2.02959700e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.25018335e-03  1.80033132e+00  1.80007489e+00  1.79999965e+00  1.79998991e+00 
 2.03277411e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  4.30599065e-03  1.80081391e+00  1.80013135e+00  1.79999952e+00  1.79999628e+00 
 2.03616899e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -2.38102023e-03  1.80029497e+00  1.79985437e+00  1.79999890e+00  1.79999947e+00 
 2.03985683e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -2.99692152e-02  1.79987325e+00  1.79801544e+00  1.79999847e+00  1.79999945e+00 
 2.04397985e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.22495023e-01  1.79757442e+00  1.80404797e+00  1.80000059e+00  1.80000066e+00 
 2.04824194e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  7.33780986e-01  1.78043351e+00  1.84084661e+00  1.80000089e+00  1.80000265e+00 
 2.05266553e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.43204634e+00  1.79701966e+00  1.59877956e+00  1.79999796e+00  1.79999430e+00 
 2.05770954e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.76553689e+00  1.87873162e+00  5.36323882e-01  1.80000216e+00  1.80000694e+00 
 2.06138230e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79434352e+00  1.67371862e+00  4.64874130e-02  1.79999880e+00  1.79999382e+00 
 2.06498747e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79798403e+00  9.05374330e-01  1.13342720e-02  1.80000024e+00  1.80000322e+00 
 2.06835827e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79919406e+00  2.23730539e-01 -3.61793778e-04  1.79999974e+00  1.79999930e+00 
 2.07174210e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79904739e+00  1.58472306e-02 -5.72488305e-03  1.79999997e+00  1.80000008e+00 
 2.07539432e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79950419e+00  5.04886205e-03 -1.78348477e-02  1.80000027e+00  1.80000013e+00 
 2.07905250e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79928146e+00 -2.51347916e-04  3.05673939e-01  1.80000094e+00  1.80000035e+00 
 2.08302778e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79961664e+00  2.22605706e-04  9.78224918e-01  1.79999884e+00  1.79999834e+00 
 2.08804787e-08  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79941881e+00 -1.62714981e-05  1.63224897e+00  1.79999998e+00  1.80000187e+00 
